41;"technician";"married";"professional.course";"no";"yes";"no";"cellular";"aug";"tue";161;2;999;0;"nonexistent";1.4;93.444;-36.1;4.966;5228.1;"no"
36;"technician";"married";"university.degree";"no";"yes";"no";"cellular";"aug";"tue";120;3;999;0;"nonexistent";1.4;93.444;-36.1;4.966;5228.1;"no"
46;"services";"married";"basic.4y";"unknown";"no";"no";"cellular";"aug";"tue";507;3;999;0;"nonexistent";1.4;93.444;-36.1;4.966;5228.1;"no"
31;"admin.";"divorced";"university.degree";"no";"yes";"no";"cellular";"aug";"wed";77;6;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
60;"services";"married";"basic.4y";"no";"yes";"no";"telephone";"aug";"wed";767;7;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
54;"blue-collar";"married";"basic.9y";"unknown";"yes";"no";"cellular";"aug";"wed";388;4;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
56;"admin.";"married";"professional.course";"no";"yes";"no";"cellular";"aug";"wed";106;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
32;"technician";"single";"university.degree";"no";"yes";"no";"cellular";"aug";"wed";168;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
35;"management";"married";"university.degree";"no";"yes";"yes";"cellular";"aug";"wed";239;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
57;"self-employed";"married";"basic.9y";"no";"no";"no";"cellular";"aug";"wed";139;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
29;"technician";"unknown";"high.school";"no";"yes";"no";"cellular";"aug";"wed";78;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
29;"technician";"unknown";"high.school";"no";"yes";"no";"cellular";"aug";"wed";536;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
36;"admin.";"married";"university.degree";"unknown";"yes";"no";"cellular";"aug";"wed";295;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
32;"admin.";"married";"university.degree";"no";"yes";"yes";"cellular";"aug";"wed";224;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
35;"admin.";"married";"university.degree";"unknown";"yes";"yes";"cellular";"aug";"wed";156;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
34;"admin.";"married";"university.degree";"unknown";"yes";"no";"cellular";"aug";"wed";206;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
33;"technician";"single";"university.degree";"no";"no";"no";"cellular";"aug";"wed";317;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
30;"technician";"married";"high.school";"no";"no";"no";"cellular";"aug";"wed";176;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
35;"technician";"married";"professional.course";"unknown";"yes";"yes";"cellular";"aug";"wed";69;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
44;"management";"married";"basic.9y";"no";"yes";"no";"cellular";"aug";"wed";244;4;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
46;"technician";"married";"professional.course";"no";"yes";"no";"cellular";"aug";"wed";114;3;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
35;"admin.";"single";"university.degree";"no";"yes";"yes";"cellular";"aug";"wed";132;1;999;0;"nonexistent";1.4;93.444;-36.1;4.965;5228.1;"no"
